No;Name Matkul;Kode Matkul;Kategori Matkul;Quiz Name;Quiz File Name
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Meeting  #5: The Religion of Islam (forInternational Class);qti2_export_16038
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Meeting 7 Quiz;qti2_export_16039
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;PEKAN VIII. UJIAN TENGAH SEMESTER;qti2_export_16040
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;PEKAN XVI. UJIAN AKHIR SEMESTER;qti2_export_16041
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan #5: Agama Islam;qti2_export_16042
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan #8 Ujian Tengah Semester;qti2_export_16043
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan #8 Ujian Tengah Semester  (Remedial);qti2_export_16044
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan #8 Ujian Tengah Semester (Semester Genap 2021/2022);qti2_export_16046
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan #8 Ujian Tengah Semester - (Semester Genap 2020/2021);qti2_export_16045
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Pertemuan 2;qti2_export_16047
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (ESSAY TEST);qti2_export_16048
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS)  - Copy;qti2_export_16049
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS) Modul #15;qti2_export_16053
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS) Modul #15 - REMEDIAL;qti2_export_16054
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS)  SEMESTER AKHIR 2020/2021;qti2_export_16050
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS)  SEMESTER AKHIR 2021/2022;qti2_export_16051
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN AKHIR SEMESTER (UAS)  SEMESTER AWAL 2021/2022;qti2_export_16052
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;UJIAN TENGAH SEMESTER (UTS) ESSAY TEST;qti2_export_16056
1;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Ujian Tengah Semester (UTS);qti2_export_0
99;BAHASA INGGRIS;010U0032;55201;tes;qti2_export_14966
622;ENDOKRIN DAN FERTILITITAS OBGIN 2015;0601C21506;11708;post test;qti2_export_1949
622;ENDOKRIN DAN FERTILITITAS OBGIN 2015;0601C21506;11708;Ujian Osce;qti2_export_3148
727;OBSTETRI DAN GINEKOLOGI SOSIAL;0701C21506;11708;mcq obginsos;qti2_export_3427
727;OBSTETRI DAN GINEKOLOGI SOSIAL;0701C21506;11708;mcq obginsos;qti2_export_3429
???
864;PENGANTAR MANAJEMEN;101A2213;61201;tes;qti2_export_1880
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Karya Tulis Ilmiah;qti2_export_5861
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Kemampuan Berpikir Kritis;qti2_export_5863
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Logical Fallacy;qti2_export_5860
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Paradigma Ilmu Fisioterapi;qti2_export_5862
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Teknik Menulis Referensi;qti2_export_5877
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;Test Final Physio Yudi 8 Desember 2022;qti2_export_17355
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;UJIAN FINAL_2023;qti2_export_5881
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;UJIAN FINAL FAMAJA 2020 - Copy;qti2_export_12224
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;UJIAN FINAL FAMAJA 2020 VERSI 2;qti2_export_5923
866;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202;UJIAN FINAL FAMAJA 2022 - Copy;qti2_export_17354